Time,GPS_Lat,GPS_Lon,GPS_Alt,Target_Lat,Target_Lon,Target_Alt
1751173440.1571882,36.0757762,136.213294,0.505,36.0757755,136.213294,0.5
1751173440.257246,36.0757762,136.213294,0.505,36.0757746,136.213294,0.5
1751173440.3573039,36.0757762,136.213294,0.505,36.0757746,136.213294,0.5
1751173440.4573615,36.0757762,136.213294,0.505,36.0757746,136.213294,0.5
1751173440.557419,36.0757762,136.213294,0.505,36.0757746,136.213294,0.5
1751173440.6574771,36.0757762,136.213294,0.505,36.0757746,136.213294,0.5
1751173440.7575345,36.0757762,136.213294,0.505,36.0757746,136.213294,0.5
1751173440.8575919,36.0757762,136.213294,0.505,36.0757746,136.213294,0.5
1751173440.9576492,36.0757757,136.213294,0.52,36.0757746,136.213294,0.5
1751173441.0577066,36.0757757,136.213294,0.52,36.0757746,136.213294,0.5
1751173441.1577647,36.0757757,136.213294,0.52,36.0757737,136.213294,0.5
1751173441.257822,36.0757757,136.213294,0.52,36.0757737,136.213294,0.5
1751173441.3578794,36.0757757,136.213294,0.52,36.0757737,136.213294,0.5
1751173441.4579365,36.0757757,136.213294,0.52,36.0757737,136.213294,0.5
1751173441.557994,36.0757757,136.213294,0.52,36.0757737,136.213294,0.5
1751173441.6580508,36.0757757,136.213294,0.52,36.0757737,136.213294,0.5
1751173441.7581081,36.0757757,136.213294,0.52,36.0757737,136.213294,0.5
1751173441.8581648,36.0757757,136.213294,0.52,36.0757737,136.213294,0.5
1751173441.9582224,36.0757749,136.213294,0.506,36.0757737,136.213294,0.5
1751173442.0582795,36.0757749,136.213294,0.506,36.0757737,136.213294,0.5
1751173442.1583376,36.0757749,136.213294,0.506,36.0757737,136.213294,0.5
1751173442.2583945,36.0757749,136.213294,0.506,36.0757728,136.213294,0.5
1751173442.3584514,36.0757749,136.213294,0.506,36.0757728,136.213294,0.5
1751173442.4585083,36.0757749,136.213294,0.506,36.0757728,136.213294,0.5
1751173442.5585656,36.0757749,136.213294,0.506,36.0757728,136.213294,0.5
1751173442.658623,36.0757749,136.213294,0.506,36.0757728,136.213294,0.5
1751173442.7586806,36.0757749,136.213294,0.506,36.0757728,136.213294,0.5
1751173442.8587375,36.0757749,136.213294,0.506,36.0757728,136.213294,0.5
1751173442.9587939,36.0757742,136.213294,0.52,36.0757728,136.213294,0.5
1751173443.0588508,36.0757742,136.213294,0.52,36.0757728,136.213294,0.5
1751173443.1589077,36.0757742,136.213294,0.52,36.0757728,136.213294,0.5
1751173443.2589643,36.0757742,136.213294,0.52,36.0757728,136.213294,0.5
1751173443.3590214,36.0757742,136.213294,0.52,36.0757728,136.213294,0.5
1751173443.4590778,36.0757742,136.213294,0.52,36.0757728,136.213294,0.5
1751173443.5591352,36.0757742,136.213294,0.52,36.0757728,136.213294,0.5
1751173443.6591923,36.0757742,136.213294,0.52,36.0757728,136.213294,0.5
